"Timestamp";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V59";"V60";"V61";"V62";"V66";"V118"
735080;24.584695;63.779;0.030988;24.584695;NA;493.125;23;89;1.22936;1.1;1.1;0.34;0.44;18.333333;25.555556;26.666667;24.444444;NA;-0.2689465
735080.041667;24.60627125;64.67825;0.030988;24.60627125;NA;492.05;22.75;88.75;1.00584;1.1;1.1;0.34;0.44;18.333333;25.555556;26.666667;24.444444;NA;-0.254279
735080.083333;24.6710045;65.30175;0.030988;24.6710045;NA;495.4;22;89.5;1.34112;1.1;1.1;0.34;0.44;18.333333;25.555556;26.666667;24.444444;NA;-0.2257315
735080.125;24.757317;65.71025;0.030988;24.757317;NA;492.525;22;94;1.78816;1.1;1.1;0.34;0.44;18.333333;25.555556;26.666667;24.444444;NA;-0.19078725
735080.166667;24.7357385;66.62275;0.030988;24.7357385;NA;494.65;22;92.5;3.12928;1.1;1.1;0.34;0.44;18.333333;25.555556;26.666667;24.444444;NA;-0.19189825
735080.208333;24.606272;66.85125;0.030988;24.606272;NA;496.95;22;89.5;2.90576;1.1;1.1;0.34;0.44;21.84999975;25.555556;25.59999975;24.444444;NA;-0.238062
735080.25;24.04525125;63.21875;0.030988;24.04525125;NA;498.3;22.25;92.75;2.2352;1.1;1.1;0.34;0.44;23.022222;25.555556;25.244444;24.444444;NA;-0.47081
735080.291667;23.5705415;59.72975;0.030988;23.5705415;NA;503.975;23.25;86.25;2.2352;1.1;1.1;0.34;0.44;23.022222;25.555556;25.244444;24.444444;NA;-0.669756
735080.333333;23.376341;57.513;0.030988;23.376341;NA;534.95;24.75;74;2.34696;1.1;1.1;0.34;0.44;23.022222;25.555556;25.244444;24.444444;NA;-0.7562595
735080.375;23.37634175;56.9145;0.030988;23.37634175;NA;631.7;27.25;60.25;2.57048;1.1;1.1;0.34;0.44;23.022222;25.555556;25.244444;24.444444;NA;-0.76041
735080.416667;23.635274;55.7225;0.030988;23.635274;NA;684.525;28.25;55;2.45872;1.1;1.1;0.34;0.44;23.022222;25.555556;25.244444;24.444444;NA;-0.6743095
735080.458333;23.721585;54.62925;0.030988;23.721585;NA;706.35;29.25;53.5;3.01752;1.1;1.1;0.34;0.44;23.022222;25.555556;25.244444;24.444444;NA;-0.6506075
735080.5;23.721585;53.73225;0.030988;23.721585;NA;705.125;30;48.25;2.57048;1.1;1.1;0.34;0.44;23.022222;25.555556;25.244444;24.444444;NA;-0.6569545
735080.541667;23.82947375;52.76;0.030988;23.82947375;NA;696.725;30.25;46;2.34696;1.1;1.1;0.34;0.44;23.022222;25.555556;25.244444;24.444444;NA;-0.62466225
735080.583333;24.066829;52.4505;0.030988;24.066829;NA;724.2;30.5;48.25;3.68808;1.1;1.1;0.34;0.44;23.022222;25.555556;25.244444;24.444444;NA;-0.540714
735080.625;24.066829;51.6275;0.030988;24.066829;NA;749.25;29;55;6.7056;1.1;1.1;0.34;0.44;23.022222;25.555556;25.244444;24.444444;NA;-0.54666
735080.666667;24.04525125;51.30125;0.030988;24.04525125;NA;727.875;28.75;55.75;6.1468;1.1;1.1;0.34;0.44;23.022222;25.555556;25.244444;24.444444;NA;-0.5568375
735080.708333;24.066829;51.63925;0.030988;24.066829;NA;674;27.75;59;4.91744;1.1;1.1;0.34;0.44;23.022222;25.555556;25.244444;24.444444;NA;-0.546575
735080.75;23.9373625;52.301;0.030988;23.9373625;NA;613.1;26.75;62.75;5.588;1.1;1.1;0.34;0.44;23.022222;25.555556;25.244444;24.444444;NA;-0.58877425
735080.791667;23.57054075;51.8505;0.030988;23.57054075;NA;570.375;25.5;67.25;3.57632;1.1;1.1;0.34;0.44;23.022222;25.555556;25.244444;24.444444;NA;-0.72505075
735080.833333;23.26845225;51.47975;0.030988;23.26845225;NA;547.775;23.75;75;3.46456;1.1;1.1;0.34;0.44;23.022222;25.555556;25.244444;24.444444;NA;-0.83719175
735080.875;23.3331855;52.23525;0.030988;23.3331855;NA;526.275;23;78;3.01752;1.1;1.1;0.34;0.44;19.50555525;25.555556;26.31111125;24.444444;NA;-0.80845725
735080.916667;23.807896;56.0715;0.030988;23.807896;NA;511;23;78;2.68224;1.1;1.1;0.34;0.44;18.333333;25.555556;26.666667;24.444444;NA;-0.6089005
735080.958333;24.04525125;58.18225;0.030988;24.04525125;NA;503.85;22.75;79.25;2.57048;1.1;1.1;0.34;0.44;18.333333;25.555556;26.666667;24.444444;NA;-0.5071835
735081;24.066829;60.28275;0.030988;24.066829;NA;499.55;22;83;2.01168;1.1;1.1;0.34;0.44;18.333333;25.555556;26.666667;24.444444;NA;-0.48413
