;0;1;2;3;4;5;6;7;8;9;10
0;;;2.0;;;;9804.053590000001;7.0;4.0;;2.0
1;;;2.0;;;;5292.591007;3.0;4.0;;3.0
2;;;1.0;;;;27373.96185;4.0;3.0;;1.0
3;;;1.0;;;;46127.91885;1.0;3.0;;1.0
4;;;2.0;;;;21652.15899;7.0;4.0;;2.0
5;;;2.0;;;;8572.252713;3.0;4.0;;1.0
6;;4.0;2.0;2.0;212.0;2.0;2927.0;7.0;7.0;1910.0;2.0
7;;4.0;2.0;2.0;219.0;2.0;4373.0;7.0;7.0;1932.0;2.0
8;;4.0;3.0;1.0;40.0;2.0;3962.0;;7.0;1982.0;1.0
9;;;2.0;;;;25682.38403;7.0;4.0;;2.0
10;;;2.0;;;;29301.977810000004;7.0;4.0;;2.0
11;;;2.0;;;;7176.478040999999;7.0;2.0;;2.0
12;;;2.0;;;;10071.14972;7.0;4.0;;2.0
13;;;2.0;;;;8550.048896;7.0;2.0;;2.0
14;;;2.0;;;;6719.9526989999995;7.0;2.0;;2.0
15;;;2.0;;;;8838.048196;7.0;1.0;;2.0
16;;;2.0;;;;9774.789145;7.0;4.0;;2.0
17;;;2.0;;;;7588.409943000001;7.0;4.0;;2.0
18;;;2.0;;;;14279.0982;7.0;4.0;;2.0
19;;;2.0;;;;20182.34062;7.0;4.0;;2.0
20;;;2.0;;;;7386.067209000001;7.0;1.0;;2.0
21;;;2.0;;;;18326.6032;7.0;1.0;;2.0
22;;;2.0;;;;8746.81745;7.0;4.0;;2.0
23;;;2.0;;;;8563.705637000001;7.0;4.0;;2.0
24;;;2.0;;;;8070.204901000001;7.0;4.0;;2.0
25;;;2.0;;;;12331.665509999999;7.0;4.0;;2.0
26;;;1.0;;;;11724.823120000001;2.0;4.0;;1.0
27;;;2.0;;;;16307.91391;7.0;1.0;;2.0
28;;;2.0;;;;7453.0502719999995;7.0;4.0;;2.0
29;;;2.0;;;;9095.296603;7.0;1.0;;2.0
30;;;2.0;;;;10876.52582;7.0;4.0;;2.0
31;;;2.0;;;;10000.0;7.0;6.0;;2.0
32;;;2.0;;;;500.7;3.0;8.0;;3.0
33;;;2.0;;;;12046.08169;7.0;1.0;;2.0
34;;;2.0;;;;25494.25545;7.0;1.0;;2.0
35;;;1.0;;;;155679.4152;2.0;3.0;;1.0
36;;4.0;2.0;1.0;269.0;3.0;2132.0;7.0;7.0;1971.0;2.0
37;;;1.0;;;;17795.94126;5.0;4.0;;1.0
38;;4.0;2.0;2.0;293.0;2.0;2937.0;7.0;7.0;1971.0;2.0
39;;;2.0;;;;12000.0;7.0;6.0;;2.0
40;;;1.0;;;;15739.62626;5.0;4.0;;1.0
41;;4.0;2.0;1.0;;;2152.0;7.0;7.0;1971.0;2.0
42;;4.0;3.0;2.0;;;732.0;;7.0;1910.0;1.0
43;;;2.0;;;;12000.0;7.0;6.0;;4.0
44;;;2.0;;;;44381.99277;3.0;4.0;;5.0
45;;7.0;3.0;2.0;0.0;2.0;1542.0;;7.0;1982.0;1.0
46;;;1.0;;;;29555.231389999997;1.0;3.0;;1.0
47;;;2.0;;;;12000.0;7.0;6.0;;2.0
48;;;2.0;;;;12000.0;7.0;6.0;;2.0
49;;4.0;2.0;6.0;;;4434.0;3.0;7.0;;1.0
50;;;2.0;;;;8949.903408;3.0;4.0;;4.0
51;;;1.0;;;;44244.68214;4.0;4.0;;1.0
52;;;1.0;;;;39788.21813;4.0;4.0;;1.0
53;;;2.0;;;;32547.1;3.0;8.0;;3.0
54;;4.0;2.0;2.0;414.0;3.0;2572.0;7.0;7.0;1910.0;2.0
55;;;1.0;;;;17265.74384;4.0;4.0;;1.0
56;;4.0;2.0;2.0;230.0;2.0;2154.0;7.0;7.0;1955.0;2.0
57;;4.0;2.0;2.0;64.0;1.0;3984.0;7.0;7.0;1971.0;2.0
58;;;1.0;;;;16691.4175;2.0;4.0;;1.0
59;;4.0;3.0;2.0;;;1134.0;;7.0;1982.0;1.0
60;;;2.0;;;;3774.5559869999997;3.0;4.0;;4.0
61;;;2.0;;;;2918.547745;3.0;4.0;;3.0
62;;4.0;2.0;1.0;396.0;2.0;1877.0;7.0;7.0;1982.0;2.0
63;;4.0;3.0;2.0;;2.0;2182.0;7.0;7.0;1955.0;2.0
64;;4.0;3.0;4.0;1173.0;3.0;8866.0;7.0;7.0;1955.0;2.0
65;;4.0;2.0;3.0;517.0;2.0;2939.0;7.0;7.0;1955.0;2.0
66;;4.0;2.0;1.0;515.0;2.0;2619.0;7.0;7.0;1910.0;2.0
67;;4.0;2.0;2.0;348.0;2.0;2570.0;7.0;7.0;1955.0;2.0
68;;4.0;2.0;2.0;304.0;3.0;2815.0;7.0;7.0;1955.0;2.0
69;;4.0;2.0;1.0;101.0;;736.0;7.0;7.0;1955.0;2.0
70;;4.0;3.0;2.0;441.0;2.0;2335.0;7.0;7.0;1955.0;2.0
71;;4.0;2.0;4.0;29.0;4.0;1123.0;7.0;7.0;1910.0;2.0
72;;4.0;2.0;1.0;317.0;3.0;3211.0;7.0;7.0;1955.0;2.0
73;;4.0;2.0;2.0;315.0;4.0;2555.0;7.0;7.0;1982.0;2.0
74;;4.0;2.0;2.0;387.0;3.0;2061.0;7.0;7.0;1910.0;2.0
75;;4.0;3.0;1.0;171.0;5.0;1303.0;7.0;7.0;1955.0;2.0
76;;;2.0;;;;3103.053103;3.0;1.0;;1.0
77;;4.0;2.0;3.0;241.0;3.0;2418.0;7.0;7.0;1910.0;2.0
78;;4.0;2.0;2.0;427.0;2.0;2403.0;7.0;7.0;1910.0;2.0
79;;4.0;2.0;4.0;1164.0;4.0;11710.0;7.0;7.0;1955.0;2.0
80;;;2.0;;;;2158.3224960000002;3.0;4.0;;3.0
81;;4.0;2.0;2.0;284.0;2.0;2678.0;7.0;7.0;1982.0;2.0
