,0
143287.46583716414,3
141981.01103379924,0
29909.233217529003,11
31779778.396353513,5
468224.6438516339,8
18735.496889866503,1
158988.43881389813,10
275780.4558368518,14
392209.73156823026,14
3413447.0936623258,11
3166414.23408181,11
13437.407588666103,13
22106.475064419137,3
22471.8114952401,1
216374.43330720795,13
50558.0664810699,1
165237.5149335824,3
184718.18298543908,13
65884.7258161144,6
646082.4997065108,8
59880.1236053447,13
2132581.697345891,12
23709.723737378194,1
20057.018312963322,1
344121.48086270865,1
49211.93682867659,2
177744.8609896209,2
330312.79061651486,12
89898.1567919571,13
215909.5382871469,1
520452.4186852636,3
40445.43139514372,3
543237.0792929316,4
22684.173657106683,2
4142628.040351506,11
279846330.9155231,9
392505.02859891194,10
865821.3255972286,12
123717.88323209675,10
33687.37170768878,2
1289747.0259738367,12
315651.58531020366,10
265203.3691572258,4
33687.37170768878,2
54513085.90238289,5
255761.12012002573,4
4123241.741516945,11
33687.37170768878,2
33687.37170768878,2
137416.9858134373,14
106192.2167231928,1
56559301.399437,5
143441924.75780207,5
25221780.725957777,11
46527.39602902152,10
165982.1392435529,12
386857.8959031093,10
358294.70138865744,14
38901.29712280363,12
26546.35018410842,4
113846.932538276,14
63353.401976603396,10
445421.04220407,4
286760.4495230665,10
199811.77930147288,1
83509.09335387337,10
30872.68114207737,10
60986.60419591988,10
74669.25278729117,10
334896.8287318744,4
156165.92504486995,10
152442.9430367688,4
321672.45995046303,10
77038.16414277007,10
438543.1768483395,10
68428.12430032568,4
176518.96204191895,10
166330.52436465397,10
114724.199291952,10
293531.47007737873,2
301476.011749004,10
69878.07437461407,10
64682.7084652662,4
132962.05475572805,4
257855.72956517793,10
108141.60261035968,10
4193423.7777827703,8
69175.50204465551,4
43563.40807086203,10
423156.15043681674,2
72534.29354664282,4
288608.81367944257,4
119929.05367372204,10
24751.73798291639,3
518131.7019338318,4
103376.32257359494,0
242201.00693824663,1
30302.498460829032,10
267044.4924370808,10
99617.09639556357,4
13884.089666006135,1
47599.616290506936,1
240448.28322005714,4
419439.2305908397,10
55871.96665827103,4
481568.47598447854,10
264720.82825296535,1
315568.64881392993,10
580407.5748951343,4
87912.84712226831,4
459011.5285979504,13
448181.4557856442,2
495290.8497333227,14
163747.79727028136,4
122076.5502360325,14
255085.53983162835,10
78124.6857392421,14
79939.1142429582,4
909957.1618040306,2
16615.891660085625,0
186518.35523332824,14
1305860.6443748334,2
342939.7994044994,2
