;0
237326.2520206537;2
13402.086606980032;11
2604935.900385294;1
58261627.938792385;7
268361.81804888416;6
588866.1085543456;2
234267.01213163717;12
1108748.1284902238;11
986661.4435021263;12
19584.82090374157;1
6886686.569233472;5
50883.74845233282;0
561450.1003660568;2
623046.47821037;2
436069.0067270046;0
256251.68442206056;2
210486.38052703277;2
57718.31645108253;0
132593.6145581576;8
569859.6776828719;4
13656.946225903543;0
1240032.575914518;4
354491.46745133743;2
601906.6804571924;2
500223.6788145429;0
149247.8972204537;10
60122.37330967112;10
334625.1073713072;14
16934.854122941877;0
68885.21298439632;2
1194027.2990021869;10
461167.6651479741;2
844679.8076252185;13
20288.708558657472;10
84564.04771279503;1
279846330.91552407;3
595462.5469534813;13
858773.527213715;14
171343.9143836551;12
14763.613109633148;10
1253913.504259356;8
564141.8716057668;13
477993.00689637597;13
14763.613109633148;10
87968118.61825886;7
289351.77097094595;13
5616215.905493338;5
14763.613109633148;10
14763.613109633148;10
758697.1043253572;11
158519.13055964594;2
90559135.3415626;7
61861122.67740497;5
402062.7516837754;5
407616.9892372156;12
162982.05123124507;14
647353.7573754305;13
1004953.705341181;12
40285.81491049121;14
91967.62273135156;13
392724.0542194275;12
71057.3366822828;12
246156.92843006284;13
612344.1732461802;13
364419.31105342007;2
77395.7071247854;12
318328.3559928972;12
436098.1129217382;12
236133.03418370656;12
640058.5982047551;13
727673.3666910619;12
338321.50414280803;13
109596.20666515577;12
477193.125938942;12
460320.01316275244;13
145720.4232687002;13
16494.00507955424;12
710215.0499032409;12
626159.7498260342;12
199005.41929224745;10
569735.0910830414;13
359801.01778061216;12
206838.37899487765;13
282669.23555212625;13
87617.49660440668;12
115705.8585612652;12
265117.70543829154;4
216419.71615112288;13
291266.6239698069;12
686373.4444836708;10
221405.8338186455;13
173666.65766018382;13
53432.15971394703;12
667056.4929394406;2
287652.18912213924;13
13391.583514394373;11
911398.9712362263;0
180874.85824366278;12
737378.8040883015;13
276070.39856076473;13
491882.19736898394;2
422966.94163978996;2
133280.21651833117;13
71373.29551319583;12
134882.638549852;13
365186.4238188673;13
608954.1154161352;0
597222.229869306;13
891079.4016428964;13
75857.08757792377;13
232519.65147483465;0
468817.14929740614;10
178676.24650779078;12
355265.5773169931;13
377208.26445085736;12
666456.915746338;13
473648.9550469474;12
121122.44530042898;13
606368.3519904664;10
185171.8019730008;11
630969.234185407;11
1691933.426372471;10
169203.2809652562;10
749703.7708663445;13
96423.58739673591;12
249914.95775771682;12
579316.2577675219;10
465367.00967842934;12
643288.0659962813;13
66084.56083051702;14
82657.21298333636;13
577052.96969819;13
63736.74029732494;13
528772.0686453726;6
708637.3191746331;10
313772.2070902773;2
1130332.9594280522;8
325495.5894150589;11
142658.86040923637;13
124011.62577205164;12
163271.8089227228;13
391869.22591362835;0
186682.9116000461;10
438465.66807305353;8
775845.7583100761;8
15662.9132364381;13
663398.1795356441;2
911967.1401571027;12
1025343.1706745412;0
634299.3978995942;10
199285.399230105;12
142579.72649783854;13
37459.61196487941;13
776013.3598752795;11
15125.562802490296;11
451366.0499775024;2
89149.67512246619;10
852548.0486037886;10
202157.60639173983;13
428673.5306411575;2
474872.23777023115;4
20517.139277661416;0
98421.54212582932;13
107994.07574167044;13
311843.88808072987;13
289063.4158925044;13
236799.49686969724;13
208817.01426716536;13
230299.93843853532;12
278147.2374832796;12
146596.1789335567;0
537808.4071085091;13
18579.922232521596;0
761282.568925192;13
1201395.6547218927;13
767514.4548684227;8
583798.3045670827;12
251255.61061092804;12
947432.9990455402;11
595788.6525042937;12
938402.2063507277;12
23152.891356266788;0
87125.20827042854;10
167221.22966682242;12
750248.516514901;10
655254.584030793;0
766126.3302083052;12
126899.16604977348;13
1880719.860703269;2
33885.63729608027;13
242399.13344145007;0
94936.4569290894;13
41753.614717879216;2
547959.7535302915;11
691019.6732562894;12
5609189.264555092;7
460189.76758860145;8
546085.7162565045;0
579242.2816991633;11
269988.6158150712;2
552042.999336984;11
214276.99060816388;10
64384.645492186;13
130344.65465132105;0
67264.08000079263;11
1116606.6213095016;12
144737.31558047177;11
75558.82220504175;12
1238860.9480428041;10
428988.3184487102;12
168343.78361668863;11
1198353.3519975364;10
154523.1937692621;14
24987.090610240914;12
1032209.3198614873;11
209986.29503553893;11
1036859.7085622445;13
187591.76036702236;2
39327.4286587223;8
140864.64810911572;0
120673.16573975518;0
201840.15927353612;13
32965.9112107339;1
1681541.2947569962;10
537903.9692027634;11
174031.0276576235;11
63381.544906243704;12
11270.453809209082;11
59437.514846538186;2
715795.5867908859;11
260392.1267266164;0
11201.7051941344;11
871477.8832843294;11
208106.4246711078;0
696993.5408428259;13
373742.34239170974;12
53943.19343278336;6
504539502.06330013;7
70608.05640018154;2
439726.2986264139;10
205639.94942493556;2
811258.71438565;11
1375739.4803097344;2
390666.9957687391;12
611184.6331845378;13
382995.53268774785;8
271179.09935005684;13
139640.90009861294;2
78280.27163411482;2
368128.25291011395;11
289565.86915587855;1
41610607.4367524;7
117241.79305577076;12
93722.23263298656;12
399477.57542230084;14
20943.740627176372;2
72587.4960261165;12
485386.07222929416;0
252210.93550944782;11
532105.9378745953;10
28648.649408987054;11
265969.0261881112;6
1032751.9209926289;2
778240.9970658745;12
17946.88900074031;10
118250.90205415462;12
359238.11262359866;13
449157.6966738909;0
469410.56870066276;11
38094.187030148634;13
239566.0765065024;6
341776.3197101534;13
575634.349742468;11
588779.8632585028;13
457736.30832420103;11
251039.49654262332;0
478833.25533173926;13
265395.47577810095;14
435360.8575481428;0
560682.5197675359;11
22251.612467380575;14
167875.3163531894;2
1039869.481504475;13
184522.8563962209;12
159703.83974456775;8
22353.52739709572;13
607314.8189216076;10
473746.1382331251;10
45764.68670075259;12
39753.79939651468;12
88395.90244156748;12
634049.2882676263;0
450749.8887465189;14
839596.0754536738;10
280062.7621015465;12
11872.882471937062;13
457039.5934330003;11
14110.318658191029;12
14731.328283916158;8
580648.8877467817;0
2564497.9917340507;2
113386.40759593724;12
1268772.52225895;9
84684.1355531086;4
26535.60724524007;12
741299.0083517744;2
511122.82909221173;11
736808.214108868;0
1095791.5334783057;2
13654.986198417017;12
16932.76885298807;0
16898.476106999755;2
244594.11171615258;2
250918.7392473757;11
762168.4187979449;8
210440.80487002895;13
319300.34362673044;11
497576.8080779068;11
27269.347772607405;13
46960.04300006828;0
374356.5835715234;6
1198592.3204324825;10
58108.679717397215;0
771648.6332265575;14
528117.7702649441;13
613955.7160898461;2
280181929.14581573;3
543925.9512062697;11
13621.4116493223;8
10506.463572476277;10
709226.9634786039;13
137817.47928980424;12
226514.08818021853;0
14895.947250040757;11
1166492.3797488404;10
136547.77035107784;13
42286.90755509026;12
1578784.4123930393;10
664447.3707913273;11
1235830.8876017078;10
35702.65481995789;2
491268.34284580767;11
458274.93220903195;12
135343.48958463618;0
130669.78044338524;13
39087.65964142064;11
797839.6834539823;2
17188.9093661503;2
1119970.258622766;9
324485.02947696735;2
158139.57776098524;13
642369.5976181501;12
4890363.782642541;2
333763.59725104505;13
599903.967191328;1
553415.4033739405;0
96780.37312559068;11
175152.8705589414;0
247087.83401337275;13
809339.7968004958;0
315435.61006443884;12
538518.5710306022;0
988604.4482552293;14
1230470.2358165053;8
464433.86765836924;0
469690.68439252576;11
1924140.4444026088;0
642069.9317601972;2
47183.75720747816;11
65648.65902819479;14
603740.384611479;10
198749.5201359453;6
75722.53468713559;11
568907.7904906718;12
805499.807684356;11
218053.68511800136;13
557040.8779272692;2
701542.2082631813;11
1520013.0176648484;14
636452.3531608704;12
135978.1446627367;10
301166.75071567786;13
194151.4268396481;9
428755.55420494295;11
967573.5390018558;14
967775.3867306234;2
145930.86361917644;2
203308.63341611985;0
209050.83332724273;12
260862.5478031966;2
738131.9817904772;2
88018.99916722885;10
953953.5984904474;0
320457.03341965337;13
88339.03393147209;12
1736949.4291783923;10
2881768.3263449413;9
40892.526164036506;10
280944.9774771468;12
134664.0276084261;10
231772.24564747853;13
406929.54718703544;4
15715.887998512488;8
372627.84171442856;12
266521.2173284509;13
228965.02420188615;2
279703.1370505456;13
173912.72569832794;2
66721.38024051103;13
829354.390784735;11
322916.6335879269;12
798333.4580064877;2
215453.34065603156;4
129444.5345294009;12
10123.908814259092;11
239713.24641701468;4
39971.66592850237;2
560782.6596545806;11
39640.569489709465;12
636832.1612207413;0
20015.63214925552;12
59514.56094265789;2
20304.136688119026;10
1119842.7566231422;10
866782.9584184844;2
489215.9781337589;11
108929.77782989023;11
934831.6074221118;12
20901.017919605954;8
210279.94907996;0
342793.99974944146;10
43323.17662972892;0
806708.050560855;10
177575.0550352282;11
13987.5270646677;12
636098.8369126581;0
357206.0825480848;12
19660.683922900764;12
422463.4914847296;8
82375.15334633469;6
675026.7057602573;12
577295.2670718847;0
5397549.758121233;10
950628.6920418864;4
157901.9779594877;11
719342.6453299976;11
69549.93307654359;1
292403.05440646934;13
2325652.3267150493;5
183201.2942844091;12
509583.844205073;11
199938.81229344383;0
42065.409852855046;14
67400.84357454677;10
875958.7491475539;11
50692.92974395688;14
105006.46485924642;8
519117.61163152405;14
598146.5913696347;13
769006.719322473;12
150811.92969483725;0
62326.601915123414;11
754767.729272836;0
434854.9389018437;11
3922827.950446869;5
1073292.533609755;2
96741.81235434141;12
105280.17137302544;10
71837.12336792027;13
142421.1582441749;0
16248.025073159424;10
78612.05596913208;2
313278.8577037428;13
550025.6917974368;0
986919.5940874064;13
458182.284357454;8
14202.163949125845;12
254107.80059600945;4
15397.236057119899;11
475348.242971669;11
967583.6708250634;13
1155424.8374824815;6
309696.89908284834;11
646839.6925565978;11
457851.4829620206;2
301564.48798933293;8
905193.3367535687;11
112114.69519342014;12
987262.2270369811;2
13249.556902205672;13
1186101.037669799;14
369849.80128132517;13
47594.8652086567;12
109938.48203333175;0
363633.0834391405;11
518924.33363735315;8
556666.2374927372;10
478071.40624246746;12
129179.12547306705;8
167439.9259623044;12
673547.163971126;11
206546.88132318604;2
21894.427044788943;12
129960.0690472715;11
42170.786936629345;13
141772.4919255286;12
2251028.3365765684;1
171883.55576751608;11
384411.4888994334;0
407605.25893867784;11
157013.69266935787;12
505039.33278419846;12
57495.64844189078;13
261599.3696252243;13
