Alpha,Proporcion,Media resta
"0,025",7/15,0.8
"0,03",8/15,0.8524731721555658
"0,04",8/15,0.744362455436399
"0,05",9/15,0.8429195489883159
"0,06",7/15,0.8
"0,07",8/15,"0.9267190291221841
"
"0,08",8/15,0.7806839009900262
"0,09",9/15,0.5648057165347358
"0,1",9/15,0.774118535815214
"0,12",8/15,0.7569941029165614
"0,15",9/15,0.6612975038863695
0.2,7/15,0.8615482504563693
0.25,8/15,0.771172205420493
0.3,8/15,0.8798094596741057
0.35,8/15,0.8798094596741057
0.4,8/15,0.9026183542037571
0.45,8/15,0.922486668393121
0.5,7/15,1.0331509049390233
0.55,7/15,0.781761728207061
0.6,9/15,0.6546600618017047
0.65,9/15,0.8539157208869468
0.7,9/15,0.8539157208869468
0.75,7/15,0.6480184199626497
0.8,7/15,0.8625629051431991
0.85,8/15,0.7565175449684814
0.9,9/15,0.766822309237112
0.95,8/15,0.6441483397960572
1.0,8/15,0.7189342700820905
1.1,8/15,0.7242034816946723
1.2,9/15,0.8038629762716909
1.3,8/15,0.6457691559201175
1.4,7/15,0.9003174537338363
1.5,9/15,1.042138396826385
1.6,11/15,0.8562976464061953
1.7,11/15,0.9503667896224998
1.8,11/15,0.9013090305778135
1.9,10/15,0.8452012137410497
2.0,10/15,0.9515626812951925
2.1,11/15,0.9732802818442289
2.2,12/15,0.7834941548855633
2.3,11/15,0.8397683115317608
2.4,13/15,0.8359065610929259
2.5,10/15,0.8893924884511908
2.6,9/15,1.0804462847379237
2.7,10/15,1.012264995771122
2.8,12/15,0.9104767541272313
2.9,13/15,0.6725337527172331
3.0,11/15,1.0316228475121336
3.1,11/15,0.8764431779756527
2.9,10/15,1.087144632655289
