Alpha,Proporcion,Media resta
"0,025",7/15,0.8
1.0,9/15,1.563067769356156
1.0,10/15,1.43034518193734
1.1,10/15,0.9271303440265144
1.2,9/15,1.0563048833634212
1.3,9/15,0.8230598264561818
0.5,11/15,2.047133616656904
0.6,12/15,1.8825003632640585
0.7,14/15,2.5242897666345536
0.8,14/15,2.1626847422617734
0.9,14/15,2.0374153052677744
1.0,13/15,2.1895287831293917
1.1,14/15,2.2495529042644287
1.2,11/15,1.9524584567210277
1.3,11/15,1.5426102122282601
1.4,12/15,1.5441588732595402
1.5,13/15,2.0250602697226934
1.6,11/15,1.7011636441018312
1.7,11/15,1.9070244912949217
1.8,12/15,2.1560201295126196
1.9,13/15,1.6869255255179922
2.0,12/15,2.4326031683276907
