Alpha,Proporcion,Media resta
0.99,0/15,-456.71656315412656
0.98,0/15,-1045.6923414366022
0.97,0/15,-2989.403567061007
0.96,0/15,-669.2119780410554
0.95,0/15,-669.2119780410554
0.94,0/15,-336.3849067941581
0.93,0/15,-673.34090715014
0.92,0/15,-453.4866538184466
0.91,0/15,-677.259832889626
0.9,0/15,-1215.6237337211717
0.999,0/15,-314.01649846836546
0.998,0/15,-711.6829039093831
0.997,0/15,-655.5276555297969
0.996,0/15,-655.5276555297969
0.995,0/15,-655.5276555297969
0.994,0/15,-1893.6869785840786
0.993,0/15,-772.9920687529477
0.992,0/15,-210.31449630159833
0.991,0/15,-210.31449630159833
0.99,0/15,-771.8736937989266
