Alpha,lr,Proporcion,Media resta
0.1,0.0001,13/15,2.079738698705135
0.1,0.0002,10/15,2.2046373054615747
0.1,0.00030000000000000003,12/15,2.15237464223487
0.1,0.0004,13/15,2.1031753358402003
0.1,0.0005,12/15,2.085538389578774
0.1,0.0006000000000000001,13/15,2.146374685141248
0.1,0.0007,9/15,1.1013231925139084
0.1,0.0008,12/15,1.7340900832503772
0.1,0.0009000000000000001,13/15,1.939339031483718
0.1,0.001,12/15,2.018049751183649
0.1,0.0011,13/15,2.214712466972563
0.1,0.0012000000000000001,12/15,1.8234525799013734
0.1,0.0013000000000000002,12/15,2.2610397163265827
0.1,0.0014,13/15,2.4539744297212827
0.1,0.0015,14/15,1.8351645440164646
0.1,0.0016,12/15,1.407794931169614
0.1,0.0017000000000000001,11/15,2.1694554745235846
0.1,0.0018000000000000002,13/15,2.042924496520574
0.1,0.0019,14/15,2.181442725210029
0.1,0.002,12/15,1.9644651250346767
0.1,0.0021000000000000003,11/15,1.8505458122006544
0.1,0.0022,13/15,1.6531183389997939
0.1,0.0023,12/15,2.0195858187278213
0.1,0.0024000000000000002,12/15,2.0603518034138775
0.1,0.0025,13/15,2.0761813544453793
0.1,0.0026000000000000003,13/15,2.1780772572675846
0.1,0.0027,13/15,2.055420166298526
0.1,0.0028,13/15,2.235153901435172
0.1,0.0029000000000000002,13/15,2.0355335472335336
0.1,0.003,12/15,1.9991904661568813
0.1,0.0031000000000000003,12/15,1.9991904661568813
0.1,0.0032,12/15,1.7948043765923827
0.1,0.0033,12/15,2.070663479156136
0.1,0.0034000000000000002,12/15,2.17985345515148
0.1,0.0035,11/15,1.7917226955088006
0.1,0.0036000000000000003,11/15,1.9728107816355656
0.1,0.0037,13/15,2.1845180594544322
0.1,0.0038,11/15,2.1712089288435337
0.1,0.0039000000000000003,14/15,2.143805763283809
0.1,0.004,11/15,2.063437680064341
0.1,0.0041,11/15,2.037894780692011
0.1,0.004200000000000001,12/15,2.212423325456404
0.1,0.0043,13/15,1.9182673114276234
0.1,0.0044,13/15,1.9182673114276234
0.1,0.0045000000000000005,14/15,1.967364264080714
0.1,0.0046,14/15,1.967364264080714
0.1,0.0047,12/15,1.6667684191571501
0.1,0.0048000000000000004,13/15,1.9592906135677215
0.1,0.0049,11/15,1.6250126369500173
0.1,0.005,14/15,1.9149342509053746
0.1,0.0051,13/15,2.2219249120027893
0.1,0.005200000000000001,11/15,1.9758090689294001
0.1,0.0053,12/15,2.2212229284791523
0.1,0.0054,10/15,1.9301955097887344
0.1,0.0055000000000000005,13/15,1.8674070226825892
0.1,0.0056,12/15,2.1077869021452327
0.1,0.0057,12/15,2.1077869021452327
0.1,0.0058000000000000005,11/15,2.032444877902235
0.1,0.0059,11/15,1.7999643557746599
0.1,0.006,11/15,1.7999643557746599
0.1,0.0061,13/15,2.1798921189618867
0.1,0.006200000000000001,12/15,1.1493436839427433
0.1,0.0063,12/15,1.787851318477864
0.1,0.0064,14/15,2.130025805148458
0.1,0.006500000000000001,11/15,1.8283183086111197
0.1,0.0066,11/15,2.0539978363107294
0.1,0.0067,13/15,2.1302456262510403
0.1,0.0068000000000000005,12/15,2.001122147479078
0.1,0.006900000000000001,12/15,1.6512664750601707
0.1,0.007,13/15,2.3784588199907546
0.1,0.0071,11/15,1.8860098505436649
0.2,0.0002,13/15,1.972570822390416
0.2,0.0004,13/15,1.972570822390416
0.2,0.0006000000000000001,11/15,2.125842498160354
0.2,0.0008,13/15,2.1102162401186124
0.2,0.001,13/15,2.2770473496597305
0.2,0.0012000000000000001,10/15,1.758217895416465
0.2,0.0014,13/15,1.7914328043561063
0.2,0.0016,14/15,1.9347736736121635
0.2,0.0018000000000000002,13/15,2.3008571791909094
0.2,0.002,12/15,1.599515430596673
0.2,0.0022,12/15,1.599515430596673
0.2,0.0024000000000000002,12/15,2.291324355198298
0.2,0.0026000000000000003,12/15,2.291324355198298
0.2,0.0028,12/15,2.291324355198298
0.2,0.003,13/15,2.400380657304242
0.2,0.0032,11/15,1.7483288224964475
0.2,0.0034000000000000002,11/15,1.7483288224964475
0.2,0.0036000000000000003,13/15,1.971284995811199
0.2,0.0038,13/15,1.971284995811199
0.2,0.004,13/15,1.971284995811199
0.2,0.004200000000000001,12/15,1.8290387276129187
0.2,0.0044,14/15,1.8639364206657618
0.2,0.0046,12/15,2.04135580889212
0.2,0.0048000000000000004,12/15,2.253650271683047
0.2,0.005,12/15,2.253650271683047
0.2,0.005200000000000001,10/15,1.6366010695895556
0.2,0.0054,12/15,1.852298471730951
0.2,0.0056,14/15,2.0573178313739207
0.2,0.0058000000000000005,13/15,1.8159595889858902
0.2,0.006,13/15,2.2704405815897517
0.2,0.006200000000000001,13/15,2.034005965602277
0.2,0.0064,13/15,2.260735321684308
0.2,0.0066,12/15,2.0183518490625243
0.2,0.0068000000000000005,11/15,2.300400744546846
0.2,0.007,14/15,2.274476627127902
0.2,0.007200000000000001,10/15,1.6734983603811378
0.2,0.0074,12/15,1.950773766062072
0.2,0.0076,13/15,2.2349405971566445
0.2,0.0078000000000000005,12/15,1.7166419461171187
0.2,0.008,12/15,1.7166419461171187
0.2,0.0082,12/15,1.7166419461171187
0.2,0.008400000000000001,12/15,1.7166419461171187
0.2,0.0086,11/15,1.7184678154793744
0.2,0.0088,10/15,1.7080579630369361
0.2,0.009000000000000001,13/15,2.045656082993603
0.2,0.0092,13/15,1.9375375714708072
0.2,0.0094,12/15,1.7914930988989146
0.2,0.009600000000000001,12/15,1.7914930988989146
0.2,0.0098,12/15,1.7914930988989146
0.30000000000000004,0.0002,12/15,1.7914930988989146
0.30000000000000004,0.0004,12/15,1.7914930988989146
0.30000000000000004,0.0006000000000000001,13/15,2.0479398439493006
0.30000000000000004,0.0008,11/15,2.23500154992564
0.30000000000000004,0.001,13/15,2.51009770554687
0.30000000000000004,0.0012000000000000001,11/15,2.0339644159768673
0.30000000000000004,0.0014,11/15,2.0339644159768673
0.30000000000000004,0.0016,12/15,1.0544856623734205
0.30000000000000004,0.0018000000000000002,12/15,1.4690979562092823
0.30000000000000004,0.002,14/15,1.9286506477772238
0.30000000000000004,0.0022,14/15,1.9286506477772238
0.30000000000000004,0.0024000000000000002,14/15,1.9286506477772238
0.30000000000000004,0.0026000000000000003,14/15,1.9286506477772238
0.30000000000000004,0.0028,12/15,2.303063663198288
0.30000000000000004,0.003,12/15,2.303063663198288
0.30000000000000004,0.0032,12/15,2.303063663198288
0.30000000000000004,0.0034000000000000002,12/15,1.9064398164518535
0.30000000000000004,0.0036000000000000003,12/15,2.004813638321518
0.30000000000000004,0.0038,12/15,2.004813638321518
0.30000000000000004,0.004,14/15,2.2005033165267
0.30000000000000004,0.004200000000000001,14/15,2.2005033165267
0.30000000000000004,0.0044,14/15,2.2005033165267
0.30000000000000004,0.0046,12/15,1.911718188346205
0.30000000000000004,0.0048000000000000004,12/15,1.8835264611392497
0.30000000000000004,0.005,14/15,2.091697416695783
0.30000000000000004,0.005200000000000001,14/15,2.091697416695783
0.30000000000000004,0.0054,12/15,1.8184379817777372
0.30000000000000004,0.0056,12/15,1.7536037759616478
0.30000000000000004,0.0058000000000000005,12/15,1.7536037759616478
0.30000000000000004,0.006,12/15,1.7536037759616478
0.30000000000000004,0.006200000000000001,14/15,2.2227649291675196
0.30000000000000004,0.0064,11/15,2.180086708102065
0.30000000000000004,0.0066,11/15,2.180086708102065
0.30000000000000004,0.0068000000000000005,11/15,2.180086708102065
0.30000000000000004,0.007,11/15,2.180086708102065
0.30000000000000004,0.007200000000000001,12/15,2.143419691830003
0.30000000000000004,0.0074,12/15,2.143419691830003
0.30000000000000004,0.0076,12/15,2.143419691830003
0.30000000000000004,0.0078000000000000005,14/15,2.5627440150021963
0.30000000000000004,0.008,14/15,2.5627440150021963
0.30000000000000004,0.0082,12/15,1.8253824859369416
0.30000000000000004,0.008400000000000001,13/15,1.9409236875406095
0.30000000000000004,0.0086,13/15,2.177694724351174
0.30000000000000004,0.0088,13/15,1.754352862043477
0.30000000000000004,0.009000000000000001,12/15,1.5946871848934887
0.30000000000000004,0.0092,12/15,2.211563284149686
0.30000000000000004,0.0094,12/15,2.211563284149686
0.30000000000000004,0.009600000000000001,12/15,2.211563284149686
0.30000000000000004,0.0098,13/15,2.153187526490765
0.4,0.0002,12/15,1.7335382772485233
0.4,0.0004,12/15,1.7335382772485233
0.4,0.0006000000000000001,12/15,1.7335382772485233
0.4,0.0008,11/15,2.0580786565983473
0.4,0.001,13/15,2.0123768388856873
0.5,0.0002,12/15,2.389214435462982
